dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,36,M=128,182.7766723632812,158.9768218994141,182.59396416434177,155.0444612636039,0.18270819893942303,3.9323606358101983
exp5,4,36,M=2048,182.7736206054688,158.2522430419922,182.59396416434177,155.0444612636039,0.17965644112703671,3.207781778388295
exp5,4,36,M=32,182.9634704589844,160.6685180664062,182.59396416434177,155.0444612636039,0.3695062946426333,5.624056802802301
exp5,4,36,M=512,182.7504730224609,159.0001068115234,182.59396416434177,155.0444612636039,0.15650885811913895,3.9556455479195165
exp5,4,36,M=8,182.9276428222656,161.1659698486328,182.59396416434177,155.0444612636039,0.33367865792382645,6.12150858502892
exp5,4,36,R=1,182.7704162597656,158.9456329345703,182.59396416434177,155.0444612636039,0.17645209542382645,3.90117167096642
exp5,4,36,R=16,182.7766723632812,158.9768218994141,182.59396416434177,155.0444612636039,0.18270819893942303,3.9323606358101983
exp5,4,36,R=256,182.768310546875,159.8629608154297,182.59396416434177,155.0444612636039,0.17434638253322987,4.818499551825795
exp5,4,36,R=4,182.7493133544922,158.9146728515625,182.59396416434177,155.0444612636039,0.15534919015041737,3.8702115879586074
exp5,4,36,R=64,182.7582092285156,158.8940277099609,182.59396416434177,155.0444612636039,0.16424506417382645,3.8495664463570165
exp5,4,36,Spline-ETO,182.7122192382812,155.9936828613281,182.59396416434177,155.0444612636039,0.11825507393942303,0.949221597724204
exp5,4,36,Spline-QFR,184.7100067138672,165.2043914794922,182.59396416434177,155.0444612636039,2.1160425495254174,10.159930215888295
exp5,4,36,lambda=0.1,183.2968444824219,165.8772735595703,182.59396416434177,155.0444612636039,0.7028803180801333,10.83281229596642
exp5,4,36,lambda=0.3,183.0210266113281,162.9255523681641,182.59396416434177,155.0444612636039,0.42706244698632645,7.881091104560198
exp5,4,36,lambda=0.5,182.7766723632812,158.9768218994141,182.59396416434177,155.0444612636039,0.18270819893942303,3.9323606358101983
exp5,4,36,lambda=0.7,182.7253723144531,156.9642333984375,182.59396416434177,155.0444612636039,0.13140815011132645,1.9197721348336074
exp5,4,36,lambda=0.9,182.7529754638672,156.5345153808594,182.59396416434177,155.0444612636039,0.15901129952541737,1.4900541172555108
exp5,4,82,ERM,57.23225749613669,70.97513893567663,57.23188636944394,65.2368901996019,0.00037112669274819154,5.738248736074723
exp5,4,82,ERM-NN,57.39142429406053,71.2070232281428,57.23188636944394,65.2368901996019,0.15953792461658622,5.9701330285409
exp5,4,82,LightGBM,57.33216343667635,71.11352658405899,57.23188636944394,65.2368901996019,0.10027706723241181,5.876636384457086
exp5,4,82,M=128,57.51580429077148,65.84015655517578,57.23188636944394,65.2368901996019,0.2839179213275358,0.6032663555738793
exp5,4,82,M=2048,57.49248123168945,65.82919311523438,57.23188636944394,65.2368901996019,0.26059486224551165,0.5923029156324731
exp5,4,82,M=32,57.51322555541992,65.87688446044922,57.23188636944394,65.2368901996019,0.2813391859759804,0.6399942608473168
exp5,4,82,M=512,57.49859237670898,65.84776306152344,57.23188636944394,65.2368901996019,0.2667060072650358,0.6108728619215356
exp5,4,82,M=8,57.4992561340332,65.91168975830078,57.23188636944394,65.2368901996019,0.26736976458926165,0.6747995586988793
exp5,4,82,R=1,57.5339469909668,65.85610961914062,57.23188636944394,65.2368901996019,0.3020606215228554,0.6192194195387231
exp5,4,82,R=16,57.51580429077148,65.84015655517578,57.23188636944394,65.2368901996019,0.2839179213275358,0.6032663555738793
exp5,4,82,R=256,57.49531555175781,65.82391357421875,57.23188636944394,65.2368901996019,0.263429182313871,0.5870233746168481
