dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,9,29,128,rseto_ipa_m128,303.759765625,166.49562072753906,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,512,rseto_ipa_m512,303.7214660644531,165.30780029296875,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,2048,rseto_ipa_m2048,303.8615417480469,165.32980346679688,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,18,8,rseto_ipa_m8,303.2624206542969,218.8382110595703,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,32,rseto_ipa_m32,303.612060546875,165.87167358398438,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,128,rseto_ipa_m128,297.9102783203125,153.93150329589844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,512,rseto_ipa_m512,305.2642517089844,154.21974182128906,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,2048,rseto_ipa_m2048,303.7815246582031,153.46192932128906,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,14,8,rseto_ipa_m8,295.1904296875,229.6483612060547,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,48c122be09bea5305d765014c2fab41ce4cb86376cec4fc21ef687482d363258,,,,,,,,,,,,,,,
van_havre,9,14,32,rseto_ipa_m32,298.7601623535156,187.4513397216797,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,48c122be09bea5305d765014c2fab41ce4cb86376cec4fc21ef687482d363258,,,,,,,,,,,,,,,
